29389.0 2	9786.0 3	0123.0 3	0051.0 2	9754.0 3	0030.0 2	9575.0 2	9392.0 2	9248.0 2	8775.0 2	8750.0 2	8842.0 2	8818.0 2	9313.0 2	8998.0 2	8906.0 2	8946.0 2	8498.0 2	8668.0 2	8647.0 2	8401.0 2	8693.0 2	9344.0 2	9774.0 2	9781.0 2	9926.0 3	0781.0 3	1627.0 3	2288.0 3	2352.0 3	2714.0 3	2235.0 3	2176.0 3	2328.0 3	2566.0 3	2348.0 3	2989.0 3	3411.0 3	3370.0 3	2993.0 3	2848.0 3	2688.0 3	2807.0 3	3107.0 3	3875.0 3	3641.0 3	3745.0 3	4076.0 3	5140.0 3	6644.0 3	7087.0 3	6200.0 3	4797.0 3	3701.0 3	3489.0 3	3328.0 3	2735.0 3	2605.0 3	2316.0 3	1996.0 3	1605.0 3	0962.0 3	0813.0 3	0601.0 2	9981.0 2	9458.0 2	9597.0 2	9388.0 2	9072.0 2	9221.0 2	9042.0 2	9047.0 2	8501.0 2	8082.0 2	7480.0 2	7290.0 2	6472.0 2	5950.0 2	5175.0 2	4597.0 2	3946.0 2	3333.0 2	2728.0 2	2693.0 2	2270.0 2	2116.0 2	2076.0 2	1986.0 2	1840.0 2	1794.0 2	1741.0 2	1481.0 2	1219.0 2	0735.0 2	0545.0 2	0004.0 1	9467.0 1	8615.0 1	8013.0 1	7568
30301	30486	31150	31614	31441	31451	30542	29862	29451	29389	29347	29643	30204	29849	29581	29756	29578	29967	30388	30855	31150	31023	30707	30168	30032	29674	29688	29721	29486	29143	29289	29234	29819	30395	31587	32312	32748	33423	33886	34771	34650	34205	33744	33457	33365	33995	34061	34505	35115	35284	35061	34319	33543	33439	33221	32526	32704	32490	32084	32245	31493	31009	30788	31347	31104	31936	31420	31642	32125	30943	29802	28727	28119	27523	27571	26600	26520	26248	26096	25618	24911	24673	24029	23616	23489	23011	22260	21996	21671	20972	20503	20289	19339	18871	18602	18163	18163	17961	18151	18079
29729	30196	30767	30763	31120	30939	30422	29966	29366	29558	29609	29838	29389	29771	29665	29640	30423	30305	30803	30745	30773	30663	30544	30013	29358	29276	29222	28692	28665	28711	28541	28979	29956	30490	31373	32042	32835	33530	34264	34539	34759	34158	33647	32984	33194	33027	33785	34195	34520	34452	34227	34237	33867	33133	32646	32361	32080	32023	32495	31867	31505	31369	30585	30738	31020	31200	31443	31530	31128	30692	29744	29048	27799	27563	27164	26559	26385	26068	25749	25484	24908	24003	23526	23247	23145	22799	22485	21857	21231	20968	20359	19779	19362	19199	18819	18397	18387	18181	18063	18188
30684	30436	30377	30803	30762	30515	29938	29837	29768	29914	29830	29733	29569	29349	29631	29805	30117	30685	30640	30884	30957	30699	30027	29591	28678	28862	28696	28676	28522	28231	28483	28846	29389	30406	31662	32471	32415	33565	34060	34437	33934	33724	33124	32620	32396	33020	33055	33658	33719	33727	33765	33521	33357	32943	32412	32337	32079	32093	31973	31694	30616	30358	30627	30784	31353	31306	31861	30882	30953	30129	29134	28130	27633	27202	26905	27045	26346	26014	25660	25142	24663	23848	23224	22989	22435	22338	21839	21349	21084	20657	20096	19677	19330	19342	18877	18846	18527	18543	18486	18343
30302	30448	30677	30483	30248	30079	30129	30317	30382	30380	30725	30165	30076	29673	29464	29610	29978	30310	30478	30860	30883	30009	29633	29047	28677	28251	28049	28152	28022	28045	27941	28750	29359	30432	31226	32407	33049	33166	33799	33815	34155	33873	33307	32945	32661	32727	33231	33287	32969	33478	33400	33126	33016	32297	32186	31620	31942	31867	31847	31759	31196	30485	30218	30605	30794	31037	31170	30913	29994	29819	29244	28782	27940	27333	27275	26552	26235	25389	25341	24810	24186	23571	22976	22872	22461	22061	21717	21075	20683	20133	19982	19633	19673	19285	19236	19017	19107	19027	18730	18539
30474	31074	31465	30982	30793	30576	30474	30695	30905	31391	31123	31140	30541	30196	29666	29705	29577	30025	30339	30389	30209	29960	29916	29006	28534	28323	28392	27908	27927	27795	27845	28105	29284	30311	30981	31712	32744	33285	33269	33290	33162	33372	33116	32601	32741	32830	32426	32553	32914	33233	32831	33224	33086	32595	32047	31364	31008	31514	31550	30539	30789	30290	29820	29607	30240	30879	30589	30567	29889	29463	29063	28506	28164	27571	26753	26490	25816	25715	25397	24864	24195	23254	22982	22582	22529	22020	21646	21140	20641	20328	19945	19485	19438	19389	19387	19341	19210	19194	19060	18791
30551	30765	31292	31822	30949	30797	30747	31187	31599	31507	31660	31341	30857	30605	29928	29568	29984	29953	30032	30230	30084	29209	29094	28622	28448	28009	27708	27565	27410	27641	27700	28559	28858	29744	30923	31512	32366	32998	33102	32469	32871	32526	32651	32323	32346	32150	32519	32633	33207	33260	33529	32781	32884	32751	31816	31096	30863	30756	30864	30313	29446	29075	29030	29192	29494	29675	30166	30033	29754	29103	29117	29192	28544	28085	27314	26223	25944	25739	25133	24436	24042	23351	22886	22637	22417	22062	21558	21016	20795	20296	19645	19803	19300	19509	19443	19466	19595	19586	18949	18883
30165	30912	31262	30869	30777	30844	30898	31119	31160	31000	31382	31291	30893	30798	30344	29562	29578	29658	29789	29536	29501	29676	28943	28934	28639	27802	27501	27680	27710	27794	28210	28580	29426	29554	29836	30274	31509	32134	32261	33011	32913	32766	32265	32304	32331	32026	32513	32761	32594	33033	33023	33503	32775	31888	31332	30952	30515	30351	29640	29127	28756	28406	28012	28045	28341	29436	29446	29553	29171	29636	29073	28687	28548	27948	26949	26855	26212	25945	25359	25265	24189	23490	22957	22821	22632	21851	21670	21384	20821	20259	20057	19575	19537	19378	19635	19565	19558	19494	19452	19217
30104	30393	30421	30670	30640	30326	30765	31126	30972	30752	30827	30991	30825	30599	29968	29983	29873	29926	29740	29786	29579	29570	29423	29029	28086	27731	27435	27185	27495	27935	28028	28786	29302	29539	29855	30352	30787	31425	32083	32350	32178	32261	32395	32343	32011	32347	32097	32248	32395	32288	32696	32139	32181	31729	31398	30821	30359	29364	28935	28307	28005	27970	28023	28355	28174	28316	28722	29267	28886	28344	28650	28601	28288	27996	27109	26614	26542	25654	25355	24574	24413	23914	23080	23194	22648	22593	21845	21373	21106	20299	19990	19769	19488	19781	19569	19193	19288	19253	19436	19162
29831	29833	29707	30018	29961	30555	30504	30478	30411	30399	30196	30116	30478	30126	30377	29923	29764	29958	30255	29829	29665	29592	29091	28620	28377	27769	27543	27354	27300	27659	28379	28775	29586	29846	30000	30355	30796	31260	31867	31708	31408	31687	31906	31518	31575	31947	32063	32008	32743	32722	32614	32369	32211	31543	30931	30388	29800	29344	28535	28168	28051	27536	27753	28099	28020	28351	28385	28315	28841	28935	28478	27925	27709	27507	27200	26567	25861	25513	25000	24819	24340	23791	23349	22889	22793	21995	22077	21665	20959	20600	20331	19701	19687	19695	19709	19494	19274	19415	19894	20194
30098	29539	29113	29501	29831	29308	29638	30147	30064	30365	29809	30207	29884	30419	30098	30033	29944	29934	30252	30522	30022	30058	29246	28677	27926	27542	27446	27342	27597	28009	28511	28969	29440	29973	29947	30257	30345	30845	31270	31430	31860	31597	31307	31875	31805	31866	31901	32119	32557	33066	32653	31980	31409	31084	30826	30426	30169	29424	28772	28350	27719	28046	28586	28493	28546	28033	27959	28226	28419	28137	28125	28051	27810	27090	26787	26354	25555	25404	25319	24740	24510	24058	23542	23390	22753	22381	22034	21597	21574	21020	20381	19890	20116	19881	19691	19851	19705	19933	20351	20659
